id,date,customer_segment,product_area,sentiment,severity,feature_request,description,revenue_impact,region
CF-0001,2026-02-05,Enterprise,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,North America
CF-0002,2026-05-10,Strategic,Notifications,positive,Low,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,Low,North America
CF-0003,2026-02-26,Startup,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Medium,APAC
CF-0004,2026-06-28,Startup,Integrations,positive,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0005,2026-01-27,Enterprise,Reporting,positive,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,LATAM
CF-0006,2026-01-12,Startup,Authentication,neutral,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Medium,North America
CF-0007,2026-05-22,SMB,AI Assistant,neutral,Critical,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,At Risk,APAC
CF-0008,2026-06-19,Mid-Market,Integrations,negative,High,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,APAC
CF-0009,2026-04-08,SMB,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,LATAM
CF-0010,2026-04-01,Mid-Market,Reporting,neutral,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,APAC
CF-0011,2026-03-04,Mid-Market,Authentication,positive,High,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,LATAM
CF-0012,2026-06-26,Strategic,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,EMEA
CF-0013,2026-01-09,SMB,Mobile App,negative,High,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,Low,LATAM
CF-0014,2026-03-22,Mid-Market,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,LATAM
CF-0015,2026-02-06,SMB,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Medium,EMEA
CF-0016,2026-05-30,Startup,Integrations,negative,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,LATAM
CF-0017,2026-05-07,Enterprise,Mobile App,negative,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0018,2026-04-19,Strategic,Authentication,positive,Low,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,North America
CF-0019,2026-03-06,Strategic,Notifications,negative,Medium,better notification routing rules,Critical SLA alerts are noisy for managers who own multiple queues.,High,North America
CF-0020,2026-03-10,SMB,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,North America
CF-0021,2026-03-09,Strategic,AI Assistant,positive,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0022,2026-06-13,Strategic,Authentication,positive,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,EMEA
CF-0023,2026-01-01,Strategic,Billing,positive,Medium,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,APAC
CF-0024,2026-03-20,Mid-Market,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Medium,North America
CF-0025,2026-01-22,Startup,Reporting,negative,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0026,2026-02-12,SMB,Billing,neutral,Low,clearer seat and plan change previews,Admins cannot preview invoice impact before changing seats.,High,LATAM
CF-0027,2026-06-26,Mid-Market,Dashboard,negative,Critical,custom executive widgets,Dashboard filters reset when managers switch between account views.,At Risk,APAC
CF-0028,2026-04-23,Strategic,AI Assistant,negative,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Medium,LATAM
CF-0029,2026-05-31,Strategic,Authentication,positive,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,Low,EMEA
CF-0030,2026-06-11,Enterprise,Reporting,positive,High,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,High,EMEA
CF-0031,2026-01-19,Strategic,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,EMEA
CF-0032,2026-02-03,Strategic,Integrations,neutral,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,High,LATAM
CF-0033,2026-01-25,Enterprise,Dashboard,negative,High,custom executive widgets,Dashboard filters reset when managers switch between account views.,Low,LATAM
CF-0034,2026-01-14,Enterprise,Mobile App,neutral,Medium,mobile escalation approvals,Mobile users cannot approve urgent escalations from push notifications.,High,North America
CF-0035,2026-03-05,Mid-Market,AI Assistant,neutral,Medium,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,Low,EMEA
CF-0036,2026-03-13,Startup,Integrations,positive,Medium,deeper CRM and warehouse sync controls,CRM handoff records occasionally miss the latest support context.,Low,EMEA
CF-0037,2026-01-26,Enterprise,Authentication,negative,Medium,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,High,North America
CF-0038,2026-02-12,Startup,Authentication,negative,Critical,more flexible SSO setup,SAML setup errors block new enterprise admins during rollout.,At Risk,LATAM
CF-0039,2026-02-12,Startup,Reporting,neutral,Medium,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0040,2026-04-27,SMB,Reporting,positive,Critical,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,At Risk,LATAM
CF-0041,2026-05-29,Strategic,Reporting,positive,Low,scheduled revenue-risk reports,Large revenue-impact reports time out during leadership reviews.,Low,North America
CF-0042,2026-05-03,Strategic,AI Assistant,positive,High,AI answers with source citations,AI Assistant summaries are useful but do not always cite the source ticket.,High,EMEA
