case_id,severity,status,product_area,issue_summary,resolution_status
SC-1001,High,Escalated,Billing,Admins cannot preview invoice impact before changing seats.,Linked to Roadmap
SC-1002,Medium,Pending,Authentication,SAML setup errors block new enterprise admins during rollout.,Workaround Provided
SC-1003,Critical,Escalated,Authentication,SAML setup errors block new enterprise admins during rollout.,Linked to Roadmap
SC-1004,Medium,Escalated,Integrations,CRM handoff records occasionally miss the latest support context.,Workaround Provided
SC-1005,High,Open,Reporting,Large revenue-impact reports time out during leadership reviews.,Linked to Roadmap
SC-1006,Low,Open,Notifications,Critical SLA alerts are noisy for managers who own multiple queues.,Linked to Roadmap
SC-1007,High,Pending,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Linked to Roadmap
SC-1008,Critical,Escalated,Integrations,CRM handoff records occasionally miss the latest support context.,Linked to Roadmap
SC-1009,High,Open,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Linked to Roadmap
SC-1010,High,Escalated,Reporting,Large revenue-impact reports time out during leadership reviews.,Linked to Roadmap
SC-1011,Critical,Escalated,Reporting,Large revenue-impact reports time out during leadership reviews.,Linked to Roadmap
SC-1012,High,Pending,Integrations,CRM handoff records occasionally miss the latest support context.,Linked to Roadmap
SC-1013,High,Pending,Billing,Admins cannot preview invoice impact before changing seats.,Linked to Roadmap
SC-1014,Low,Resolved,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Linked to Roadmap
SC-1015,Medium,Pending,Reporting,Large revenue-impact reports time out during leadership reviews.,Resolved
SC-1016,Medium,Resolved,Integrations,CRM handoff records occasionally miss the latest support context.,Resolved
SC-1017,Critical,Escalated,Reporting,Large revenue-impact reports time out during leadership reviews.,Linked to Roadmap
SC-1018,Medium,Resolved,Billing,Admins cannot preview invoice impact before changing seats.,Resolved
SC-1019,Medium,Resolved,Dashboard,Dashboard filters reset when managers switch between account views.,Resolved
SC-1020,Critical,Escalated,Reporting,Large revenue-impact reports time out during leadership reviews.,Linked to Roadmap
SC-1021,Low,Pending,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Resolved
SC-1022,High,Escalated,Authentication,SAML setup errors block new enterprise admins during rollout.,Linked to Roadmap
SC-1023,High,Resolved,Notifications,Critical SLA alerts are noisy for managers who own multiple queues.,Linked to Roadmap
SC-1024,Critical,Escalated,Integrations,CRM handoff records occasionally miss the latest support context.,Linked to Roadmap
SC-1025,Medium,Open,Reporting,Large revenue-impact reports time out during leadership reviews.,Unresolved
SC-1026,Medium,Open,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Unresolved
SC-1027,Medium,Pending,Dashboard,Dashboard filters reset when managers switch between account views.,Resolved
SC-1028,High,Pending,AI Assistant,AI Assistant summaries are useful but do not always cite the source ticket.,Linked to Roadmap
