competitor_name,feature,launch_date,source_type,insight,threat_level
Salesforce Service Cloud,executive analytics dashboard,2026-06-14,Pricing Page,Salesforce Service Cloud is positioning executive analytics dashboard as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,expanded CRM marketplace connectors,2026-02-04,Analyst Report,Freshdesk is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Front,automated board-ready reporting pack,2026-04-25,Analyst Report,Front is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,expanded CRM marketplace connectors,2026-05-05,Product Blog,Freshdesk is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Zendesk,automated board-ready reporting pack,2026-02-14,Product Blog,Zendesk is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,self-serve SSO configuration wizard,2026-05-18,Customer Call,Freshdesk is positioning self-serve SSO configuration wizard as a reason to switch from slower B2B SaaS tools.,Low
Freshdesk,AI support copilot with verified citations,2026-06-10,Release Notes,Freshdesk is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,expanded CRM marketplace connectors,2026-01-20,Release Notes,Salesforce Service Cloud is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Help Scout,AI support copilot with verified citations,2026-05-29,Pricing Page,Help Scout is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Help Scout,automated board-ready reporting pack,2026-02-24,Release Notes,Help Scout is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Help Scout,expanded CRM marketplace connectors,2026-05-19,Pricing Page,Help Scout is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,expanded CRM marketplace connectors,2026-02-08,Analyst Report,Salesforce Service Cloud is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Intercom,smart SLA notification routing,2026-03-16,Customer Call,Intercom is positioning smart SLA notification routing as a reason to switch from slower B2B SaaS tools.,High
Front,AI support copilot with verified citations,2026-05-09,Product Blog,Front is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Zendesk,automated board-ready reporting pack,2026-04-12,Analyst Report,Zendesk is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Help Scout,expanded CRM marketplace connectors,2026-01-03,Customer Call,Help Scout is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Help Scout,usage-based billing controls,2026-04-25,Customer Call,Help Scout is positioning usage-based billing controls as a reason to switch from slower B2B SaaS tools.,Low
Help Scout,usage-based billing controls,2026-06-18,Customer Call,Help Scout is positioning usage-based billing controls as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,automated board-ready reporting pack,2026-01-11,Customer Call,Freshdesk is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Front,automated board-ready reporting pack,2026-03-01,Release Notes,Front is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Freshdesk,AI support copilot with verified citations,2026-04-05,Customer Call,Freshdesk is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,AI support copilot with verified citations,2026-02-22,Product Blog,Salesforce Service Cloud is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Front,native mobile support command center,2026-04-27,Release Notes,Front is positioning native mobile support command center as a reason to switch from slower B2B SaaS tools.,Medium
Zendesk,expanded CRM marketplace connectors,2026-06-16,Analyst Report,Zendesk is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Zendesk,automated board-ready reporting pack,2026-06-30,Product Blog,Zendesk is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Salesforce Service Cloud,expanded CRM marketplace connectors,2026-03-09,Product Blog,Salesforce Service Cloud is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Front,usage-based billing controls,2026-04-07,Analyst Report,Front is positioning usage-based billing controls as a reason to switch from slower B2B SaaS tools.,High
Help Scout,AI support copilot with verified citations,2026-06-17,Release Notes,Help Scout is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Front,expanded CRM marketplace connectors,2026-02-27,Product Blog,Front is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Front,automated board-ready reporting pack,2026-04-01,Analyst Report,Front is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Front,automated board-ready reporting pack,2026-06-04,Release Notes,Front is positioning automated board-ready reporting pack as a reason to switch from slower B2B SaaS tools.,High
Help Scout,expanded CRM marketplace connectors,2026-02-05,Pricing Page,Help Scout is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
Intercom,usage-based billing controls,2026-05-12,Analyst Report,Intercom is positioning usage-based billing controls as a reason to switch from slower B2B SaaS tools.,Low
Intercom,executive analytics dashboard,2026-02-10,Analyst Report,Intercom is positioning executive analytics dashboard as a reason to switch from slower B2B SaaS tools.,Low
Help Scout,AI support copilot with verified citations,2026-01-31,Customer Call,Help Scout is positioning AI support copilot with verified citations as a reason to switch from slower B2B SaaS tools.,High
Front,expanded CRM marketplace connectors,2026-03-26,Release Notes,Front is positioning expanded CRM marketplace connectors as a reason to switch from slower B2B SaaS tools.,High
