ticket_id,issue_type,priority,status,product_area,summary,effort_points
JIRA-201,Tech Debt,Medium,Planned,Reporting,Optimize scheduled reporting exports for enterprise accounts,2
JIRA-202,Feature,Low,In Review,Authentication,Add guided SAML setup validation for enterprise admins,5
JIRA-203,Research,Low,In Progress,Mobile App,Support mobile escalation approval actions,2
JIRA-204,Research,Medium,In Progress,Integrations,Improve CRM sync retry handling and handoff completeness,1
JIRA-205,Bug,Medium,In Progress,Reporting,Optimize scheduled reporting exports for enterprise accounts,13
JIRA-206,Feature,High,In Progress,AI Assistant,Add source citations to AI Assistant summaries,2
JIRA-207,Bug,High,In Progress,AI Assistant,Add source citations to AI Assistant summaries,5
JIRA-208,Improvement,Low,In Progress,Integrations,Improve CRM sync retry handling and handoff completeness,3
JIRA-209,Bug,Critical,In Review,Billing,Add billing impact preview before plan changes,8
JIRA-210,Improvement,Medium,In Review,Reporting,Optimize scheduled reporting exports for enterprise accounts,1
JIRA-211,Bug,Low,Planned,Billing,Add billing impact preview before plan changes,2
JIRA-212,Feature,High,In Progress,Integrations,Improve CRM sync retry handling and handoff completeness,13
JIRA-213,Improvement,High,Backlog,Authentication,Add guided SAML setup validation for enterprise admins,1
JIRA-214,Bug,Medium,In Review,AI Assistant,Add source citations to AI Assistant summaries,2
JIRA-215,Bug,Critical,In Progress,Reporting,Optimize scheduled reporting exports for enterprise accounts,1
JIRA-216,Bug,Critical,Backlog,Integrations,Improve CRM sync retry handling and handoff completeness,2
JIRA-217,Research,Medium,In Review,Notifications,Improve notification routing for critical SLA alerts,13
JIRA-218,Feature,Medium,Planned,Notifications,Improve notification routing for critical SLA alerts,3
JIRA-219,Research,Critical,Backlog,Integrations,Improve CRM sync retry handling and handoff completeness,8
JIRA-220,Improvement,High,In Progress,Reporting,Optimize scheduled reporting exports for enterprise accounts,5
JIRA-221,Research,Critical,In Review,AI Assistant,Add source citations to AI Assistant summaries,1
JIRA-222,Tech Debt,Medium,In Review,Authentication,Add guided SAML setup validation for enterprise admins,2
JIRA-223,Improvement,High,In Review,Dashboard,Persist dashboard filters across saved account views,13
JIRA-224,Tech Debt,Medium,In Review,Integrations,Improve CRM sync retry handling and handoff completeness,3
JIRA-225,Improvement,High,In Review,Reporting,Optimize scheduled reporting exports for enterprise accounts,3
JIRA-226,Bug,Medium,Planned,Billing,Add billing impact preview before plan changes,1
JIRA-227,Bug,High,In Review,Integrations,Improve CRM sync retry handling and handoff completeness,8
JIRA-228,Tech Debt,High,Planned,AI Assistant,Add source citations to AI Assistant summaries,2
JIRA-229,Feature,High,In Progress,Authentication,Add guided SAML setup validation for enterprise admins,8
JIRA-230,Bug,High,Planned,Reporting,Optimize scheduled reporting exports for enterprise accounts,8
JIRA-231,Tech Debt,Critical,Planned,Notifications,Improve notification routing for critical SLA alerts,2
JIRA-232,Feature,High,In Progress,Integrations,Improve CRM sync retry handling and handoff completeness,8
JIRA-233,Tech Debt,Critical,Done,AI Assistant,Add source citations to AI Assistant summaries,2
JIRA-234,Research,High,Planned,Dashboard,Persist dashboard filters across saved account views,5
JIRA-235,Bug,Low,Planned,AI Assistant,Add source citations to AI Assistant summaries,8
JIRA-236,Feature,Low,In Review,Integrations,Improve CRM sync retry handling and handoff completeness,1
JIRA-237,Improvement,Medium,Planned,Mobile App,Support mobile escalation approval actions,3
JIRA-238,Tech Debt,Low,Planned,Billing,Add billing impact preview before plan changes,8
JIRA-239,Bug,High,In Progress,Billing,Add billing impact preview before plan changes,1
JIRA-240,Tech Debt,High,In Review,Reporting,Optimize scheduled reporting exports for enterprise accounts,8
JIRA-241,Tech Debt,Medium,Planned,Authentication,Add guided SAML setup validation for enterprise admins,2
JIRA-242,Research,High,In Review,AI Assistant,Add source citations to AI Assistant summaries,13
JIRA-243,Feature,High,Done,Mobile App,Support mobile escalation approval actions,13
JIRA-244,Improvement,High,Planned,Integrations,Improve CRM sync retry handling and handoff completeness,13
JIRA-245,Improvement,High,In Review,Reporting,Optimize scheduled reporting exports for enterprise accounts,3
JIRA-246,Feature,Medium,Backlog,Integrations,Improve CRM sync retry handling and handoff completeness,13
JIRA-247,Improvement,Low,Done,Notifications,Improve notification routing for critical SLA alerts,3
JIRA-248,Improvement,Medium,Done,Integrations,Improve CRM sync retry handling and handoff completeness,1
JIRA-249,Research,Low,Backlog,AI Assistant,Add source citations to AI Assistant summaries,2
JIRA-250,Tech Debt,Critical,Planned,Reporting,Optimize scheduled reporting exports for enterprise accounts,13
JIRA-251,Tech Debt,Medium,In Progress,Authentication,Add guided SAML setup validation for enterprise admins,2
JIRA-252,Feature,High,In Progress,Integrations,Improve CRM sync retry handling and handoff completeness,3
JIRA-253,Bug,Low,In Review,Authentication,Add guided SAML setup validation for enterprise admins,13
JIRA-254,Feature,Critical,In Review,Notifications,Improve notification routing for critical SLA alerts,5
JIRA-255,Tech Debt,High,Backlog,Reporting,Optimize scheduled reporting exports for enterprise accounts,5
JIRA-256,Improvement,High,Planned,AI Assistant,Add source citations to AI Assistant summaries,2
